state,pop_resident,pop_overseas,pop_total
Alabama,4447100,14030,4461130
Alaska,626932,2001,628933
Arizona,5130632,10051,5140683
Arkansas,2673400,6333,2679733
California,33871648,59150,33930798
Colorado,4301261,10621,4311882
Connecticut,3405565,3970,3409535
Delaware,783600,1468,785068
Florida,15982378,46512,16028890
Georgia,8186453,20522,8206975
Hawaii,1211537,5105,1216642
Idaho,1293953,3321,1297274
Illinois,12419293,19749,12439042
Indiana,6080485,10297,6090782
Iowa,2926324,5599,2931923
Kansas,2688418,5406,2693824
Kentucky,4041769,7662,4049431
Louisiana,4468976,11295,4480271
Maine,1274923,2808,1277731
Maryland,5296486,11400,5307886
Massachusetts,6349097,6471,6355568
Michigan,9938444,17385,9955829
Minnesota,4919479,6191,4925670
Mississippi,2844658,8269,2852927
Missouri,5595211,11049,5606260
Montana,902195,3121,905316
Nebraska,1711263,4106,1715369
Nevada,1998257,3775,2002032
New Hampshire,1235786,2629,1238415
New Jersey,8414350,10004,8424354
New Mexico,1819046,4775,1823821
New York,18976457,28516,19004973
North Carolina,8049313,18360,8067673
North Dakota,642200,1556,643756
Ohio,11353140,21400,11374540
Oklahoma,3450654,8165,3458819
Oregon,3421399,7144,3428543
Pennsylvania,12281054,19616,12300670
Rhode Island,1048319,1343,1049662
South Carolina,4012012,13049,4025061
South Dakota,754844,2030,756874
Tennessee,5689283,10754,5700037
Texas,20851820,52174,20903994
Utah,2233169,3545,2236714
Vermont,608827,1063,609890
Virginia,7078515,22187,7100702
Washington,5894121,14563,5908684
West Virginia,1808344,4733,1813077
Wisconsin,5363675,7535,5371210
Wyoming,493782,1522,495304
